                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.2331,                 0.5717,                0.89483,                0.70737,                0.63983,                0.65255,                0.37406,                 1.3149,                0.64229,                0.93491,              0.0006792,              0.0006792,              0.0006792
                    109,                  1.212,                0.56301,                0.89549,                0.69513,                 0.6569,                0.65507,                0.36826,                 1.3067,                0.63468,                0.93255,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.2383,                0.57044,                0.89774,                0.69629,                  0.631,                0.64261,                0.37182,                 1.3058,                0.64501,                 0.9301,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.2057,                0.55799,                0.89417,                0.72054,                 0.6519,                0.66069,                0.37685,                 1.3054,                0.64157,                0.93623,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.2255,                0.57104,                0.89463,                0.69514,                0.64437,                0.64795,                0.37225,                  1.307,                0.64025,                 0.9333,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.1941,                0.55452,                 0.8924,                0.70673,                0.63907,                  0.653,                0.36695,                 1.3211,                 0.6316,                0.93235,             0.00064384,             0.00064384,             0.00064384
                    114,                 1.2112,                0.55787,                0.88843,                0.70689,                0.64536,                 0.6596,                 0.3766,                 1.3052,                0.61653,                 0.9328,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.2081,                0.55554,                0.89369,                0.71402,                 0.6492,                0.65621,                0.37461,                 1.3056,                0.62696,                0.93234,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.2242,                 0.5651,                0.88821,                0.69467,                0.62749,                0.64203,                0.37327,                 1.3048,                0.63082,                0.93232,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.1985,                0.55188,                0.89067,                0.70063,                0.64694,                0.64633,                0.37201,                 1.3119,                0.64046,                0.93632,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.2204,                0.55867,                0.89005,                0.71355,                0.63336,                0.65111,                0.37264,                 1.3012,                0.63785,                0.93169,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.1861,                0.54001,                0.89009,                0.71863,                 0.6296,                0.64585,                0.36902,                 1.3087,                0.65412,                0.93249,             0.00060139,             0.00060139,             0.00060139
                    120,                 1.2072,                0.55199,                0.89194,                0.70868,                0.62492,                 0.6389,                 0.3742,                  1.301,                0.64222,                0.93147,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.1797,                0.54821,                0.89077,                0.71139,                0.63758,                 0.6467,                0.37238,                 1.2997,                0.63923,                0.93182,             0.00058725,             0.00058725,             0.00058725
                    122,                 1.1952,                0.56264,                0.88916,                0.72212,                0.63158,                0.65389,                0.37098,                  1.299,                0.64021,                0.93169,             0.00058017,             0.00058017,             0.00058017
                    123,                 1.1932,                0.55083,                0.88348,                0.72538,                0.64116,                0.65546,                0.37402,                 1.2993,                0.64048,                0.92995,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.1859,                0.54186,                0.88762,                0.69644,                0.64695,                0.65251,                0.37256,                 1.2986,                0.63634,                0.93229,             0.00056603,             0.00056603,             0.00056603
                    125,                 1.2016,                0.54963,                 0.8923,                 0.7211,                0.64263,                 0.6582,                0.37685,                 1.2991,                0.62842,                0.93037,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.1866,                0.54715,                0.88484,                0.71831,                0.62586,                0.64766,                0.37353,                 1.2916,                0.63635,                0.92804,             0.00055188,             0.00055188,             0.00055188
                    127,                 1.2027,                0.55313,                0.88189,                 0.7073,                0.64123,                0.64847,                0.37706,                 1.2825,                0.63038,                0.92446,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.1563,                0.53914,                0.88011,                0.73407,                0.63589,                0.65808,                0.37739,                 1.2956,                 0.6398,                0.92988,             0.00053773,             0.00053773,             0.00053773
                    129,                 1.1435,                0.52456,                0.88404,                0.71108,                0.64544,                0.65733,                0.37457,                 1.3074,                0.63098,                0.93334,             0.00053066,             0.00053066,             0.00053066
                    130,                 1.1802,                0.53933,                0.87943,                0.71319,                0.64086,                0.65554,                 0.3752,                 1.3036,                0.62225,                0.93087,             0.00052359,             0.00052359,             0.00052359
                    131,                 1.1574,                0.53778,                0.87962,                0.72052,                0.64139,                0.65507,                0.37708,                 1.3075,                0.62669,                0.93403,             0.00051651,             0.00051651,             0.00051651
                    132,                 1.1782,                0.53854,                0.88453,                0.71809,                0.65129,                0.66222,                0.37979,                 1.2859,                 0.6265,                0.92719,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.1485,                 0.5272,                0.88339,                0.72669,                0.64664,                0.66384,                0.38473,                 1.2905,                0.62375,                0.92948,             0.00050236,             0.00050236,             0.00050236
                    134,                 1.1344,                0.52022,                0.88171,                0.71841,                0.65595,                0.66247,                0.37902,                 1.2906,                0.63524,                0.92806,             0.00049529,             0.00049529,             0.00049529
                    135,                 1.1685,                0.53473,                0.88222,                0.73903,                 0.6433,                0.66303,                0.38039,                 1.2951,                0.62732,                0.92884,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.1666,                   0.54,                0.87717,                0.72739,                0.64122,                0.66418,                0.37617,                 1.3045,                0.63883,                0.92876,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.1528,                0.52569,                0.87926,                0.76933,                0.62872,                0.66977,                0.38221,                 1.2906,                0.62873,                0.92641,             0.00047407,             0.00047407,             0.00047407
                    138,                 1.1836,                0.54604,                0.87817,                0.72435,                0.63956,                 0.6723,                0.38461,                 1.2889,                0.62306,                 0.9262,               0.000467,               0.000467,               0.000467
                    139,                 1.1293,                0.51588,                 0.8757,                0.74026,                0.63297,                0.66189,                0.38392,                 1.2805,                0.62505,                0.92452,             0.00045992,             0.00045992,             0.00045992
                    140,                  1.158,                0.53073,                0.88071,                 0.7394,                0.64682,                0.67345,                0.38344,                 1.2775,                0.62303,                0.93059,             0.00045285,             0.00045285,             0.00045285
                    141,                 1.1389,                0.51801,                0.87574,                0.72211,                0.64309,                0.66057,                0.38067,                 1.2807,                0.62242,                0.92682,             0.00044578,             0.00044578,             0.00044578
                    142,                 1.1328,                0.52368,                0.87074,                0.72759,                0.63836,                0.66082,                0.38164,                 1.2814,                0.62109,                 0.9249,              0.0004387,              0.0004387,              0.0004387
                    143,                 1.1252,                0.51558,                0.87643,                0.72114,                0.64453,                0.66398,                0.38241,                 1.2888,                0.62731,                0.92818,             0.00043163,             0.00043163,             0.00043163
                    144,                  1.141,                0.51899,                0.87866,                0.71205,                 0.6554,                0.66962,                0.38356,                 1.2873,                0.62224,                0.92513,             0.00042456,             0.00042456,             0.00042456
                    145,                 1.1251,                0.51984,                0.87337,                0.73236,                0.64002,                0.66519,                  0.384,                 1.2826,                0.62522,                0.92472,             0.00041748,             0.00041748,             0.00041748
                    146,                 1.1181,                0.51364,                0.87044,                 0.7297,                0.64203,                0.66337,                0.38622,                 1.2779,                0.62522,                 0.9269,             0.00041041,             0.00041041,             0.00041041
                    147,                 1.1277,                 0.5237,                0.87393,                0.73531,                0.65195,                0.66187,                0.38195,                 1.2823,                0.62515,                0.92526,             0.00040334,             0.00040334,             0.00040334
                    148,                 1.1469,                0.52874,                0.87636,                0.71039,                0.64242,                0.65964,                 0.3839,                 1.2767,                0.61454,                0.92618,             0.00039626,             0.00039626,             0.00039626
                    149,                 1.1142,                 0.5104,                0.87266,                0.71515,                 0.6436,                0.66045,                0.38568,                 1.2765,                0.62269,                0.92822,             0.00038919,             0.00038919,             0.00038919
                    150,                 1.0976,                0.50561,                0.86983,                0.71948,                0.65371,                0.66623,                0.38441,                 1.2844,                0.62147,                0.92757,             0.00038211,             0.00038211,             0.00038211
                    151,                  1.134,                 0.5193,                0.87243,                0.73053,                0.64602,                0.66658,                0.38463,                 1.2781,                0.62251,                0.92354,             0.00037504,             0.00037504,             0.00037504
                    152,                 1.1038,                0.50593,                0.87092,                0.73944,                0.64238,                0.66877,                0.38384,                 1.2867,                0.61824,                0.92805,             0.00036797,             0.00036797,             0.00036797
